you are a support agent. Here is your database of FAQ. 

START DATABASE (csv)

Name of Product,Question,Answer
general,Do I need to pay an extra fee for the testnet AND the mainnet or is it a one time fee? ," If we add your networks simultaneously, the cost will be e"
general,Here are the testnet details. Could you already check if the chain is suitable? ,"That's fine, it appears to be an EVM-compatible blockchain. "
general,I m stuck now I don't know what to do,can you provide your site link? 
launchpad,Is it an advanced version of the launchpad or how should i understand this?,You can show a demo version of the product and also videos to understand it and how it works. Demo - https://launchpad.onout.org/#/launchpad YouTube Playlist - https://www.youtube.com/watch?v=jiJBoMpr5t
launchpad,Is is like for example gempad?,"Yes, it is like gempad, but may differ in functionality. We didn't research that because it has not open source... "
launchpad,When launch Ido plugin?,"In general, the product is ready, but there is no admin panel for the convenient deployment of contracts and changing the main points of the interface. You can buy it at the moment, after that we can provide you with the source code, and if you have some dev skills you can set up it on any EVM-like chain, deploy the re"
launchpad,Also in regards to IDO is it like buying a repository with an installation guide?,"Yes at the moment, but I think we will add the admin panel page to the IDO app in about 1 month. "
launchpad,Thank you also we would love to go forward with DEX and intergration plan if that's okay,"Yes, sure "
launchpad,The IDO also needs Intergration Right?,You can use any DEX (uniswap-like) contracts with the IDO contracts. 
launchpad,So the Dev has to recompile the tocken sol contracts and then deploy them right?,"Yes, to start with own contracts you need to deploy your own contracts for tests with the npx truffle migrate --network goerli command. "
launchpad,Would want to have the intergration also,I will write you the guide on how to integrate dex contracts into the IDO app. 
launchpad,Question from the dev once the IDO ends there's an option to lock Liquidity how can we set that to lock on our Swap,When you create the IDO on launchpad you need to choose the Unlock date it is the date that will provide in the locker contract. 
launchpad,So essentially the DEX has to be deployed first before IDO right?,"Yes, but you can use any popular dex contracts (uniswap for eth, pancake for bsc, and more) to get started "
launchpad,is it possible to capture new liquidity pairs being created and snap new launches being added on the IDO?,Can you give an example? 
launchpad,Just see the Ido plugin in code canyon... Is already ready?,"It is ready, but without an admin page. "
launchpad,Ok so for the moment it's not possible to change logo link ect..?,"we will provide you a source code, where you can change whatever you want. "
launchpad,we seem to be having a problem with the IDO launchpad in terms of connecting it.,Did you choose your network in the metamask wallet? 
launchpad,how can i set that anyone can run an ido?,it is by default 
launchpad,Is there an option to add a token generator and other similar stuff to this existing launchpad?,"No, we don't have full-time developers and can't do a small custom job at the moment. The minimum budget amount is 5000$ (to find a new developer). "
launchpad,"I have a question about the launchpad, does it work with the BSC network?",You can use any EVM-like chain with this app if you have some dev skills. Or we can provide an installation service (200 USD) to set up the launchpad app with network that you want. 
launchpad,"After purchasing, does Onout collect any commissions made from transactions?","No, we don't collect any commissions. "
launchpad,Can IDO token rate be set to another token besides Ethereum?,Only native coins like Ethereum (depending on the network) can be set. 
launchpad,Now i am confused which one should I buy next IDO launchpad or Farming plugin with a limited budget.,You can buy the Farmfactory plugin because the IDOFactory is not fully ready and there is not implemented the manage panel to easy deploy re
launchpad,"I couldn't get the ido plugin from the inventory, it's over the card limit, how can I get it?",I didn't get it. Can you clarify the 
launchpad,also do you need to add btcix network to it ??,"Currently there is no manage panel, I am working on it. There is a react and truffle app where you need to do it yourself... If you buy it, the development of the admin panel will speed up... "
launchpad,I want to know the status of IDO launchpad,"I didn't spend my time on it, 'cause I was busy with other additional fee tasks. "
launchpad,? Demo is also not available,"Yes, we need to redeploy it. In general, the application is ready to use, if you have experience in react and truffle you can set it up with your network without any problem. "
launchpad,Is the admin panel ready for launchpad?,"No mate, I'm not a robot, I didn't spend my time on it, 'cause I was busy with other additional fee tasks, like yours))) "
launchpad,Can we get the backend code for the multichain dapp not the public file or build file?,"Sure, please provide your purchase transaction hash. "
launchpad,If we purchase the lending/borrowing and Launchpad dApps can we get their code as well and not just the public/build files so we can modify them to our needs?,"Yes, we can provide you with the source code of purchased applications. The lending/borrowing app is not ready for use and at the moment does not ETA... "
launchpad,How much would it cost to integrate our blockchain?,"The IDOFactory app provides only React and Truffle source code of the app at the moment and you can manually add your EVM network, but if you can't do it we can provide installation service with your network for 300 USD. I'm also working on the admin panel of this app to our customers can easily deploy all contracts and set up the app by themselves, and ASAP it will be released. "
launchpad,what is the demo link for the IDO factory again?,https://launchpad.onout.org/ 
launchpad,Also for the multichain dApp are we able to add our EVM-compatible chain as well?,"Yes, it will cost 300 USD. You also can check prices to add a custom EVM-like in this article https://support.onout.org/hc/1331700057/32/addnewnetwork?category_id=8 "
launchpad,I can’t find the specific payment code where would it be?,try to check it on etherscan or bscscan depending on your used network 
launchpad,And this one isn’t ready to use yet? https://onout.org/lenda/,"Unfortunately, yes, and it does not ETA at the moment... "
launchpad,Can the logo and name be change?,You need to change these and set up the app with the source code of React and Truffle to start the app at the moment... 
launchpad,Also the apperance of it.,"It will not be available in the first version of the admin panel, but I will add the re"
launchpad,Does the product in codecanyon includes the smart contracts used in the launchpad?,"Yes, sure, you need to compile and deploy your own IDOFactory contracts and they are included in the source code. "
launchpad,This one?,"Please send the message again, I can't see replied messages in the support system that we use... "
launchpad,is the whitelabel come with source code and solidity code?,"Yes, you can re"
launchpad,"I am looking to buy and try on it, but the price tag at $652 is a bit high, can give us a discount?","Unfortunately, we are unable to offer a discount as the current price is necessary to cover expenses related to supporting, upgrades, and the incorporation of new features and products. 
launchpad,does it not approve the token automaticly?,"Yes, we know this issue, we will fix it. We have changed the connection way and the approval is broken... "
launchpad,Locker I withdrew but it still say withdraw also the amount lock didn't switch to 0,I have opened issue 
lottery,Can we use our token as payment?,"Yes, you can deploy a lottery contract with any ERC20/BEP20-like token. "
lottery,WordPress is not safe and we may face regular attacks?,You can read this fresh article about WordPress security - https://kinsta.com/blog/is-wordpress-secure/ 
lottery,Front end is in wordpress or react?,React. 
lottery,Can we change look branding?,"If you have devs, who can change code in react - yes... "
lottery,instead of buy ticket can we ask user to connect and use token. is their any limit on win?,You can set the ticket price to 1 of your token. 
lottery,branding is done using css or its hard coded,App use pancake uikit 
lottery, Have you tested it...and it is working?,"Sure, you can check our live demo - https://lottery.wpmix.net/ "
lottery, How do i get it setup please?,Follow t he knowledge base - https://support.onout.org/hc/1331700057/category/6 
lottery,I got one more question regarding lottery Can i just additional tokens into existing pool?,"Yes, you can add some amount of tokens to a bank (smart contract) of the current lottery round. "
lottery,"Do you experience any problems using your widgets with WP? Including tx fails, gas issues, general problems...","No, basically everything was solved. "
lottery,are your lotto smart contract(s) while labelled or do they have reference to a person / brand / company?,"Yes, a farm contract supports any ERC20-like tokens, but there are no UI customizations in the lottery plugin, and you can change some images in static files... "
lottery,can a lotto have more than one erc20 token allowed to be betted and the game is probably fair on the blockchain ?,"No, for one token you should create one lottery... One user can buy 100 tickets to participate in a lottery round. "
lottery,Can I run multiple lotto’s at the same time? One for each $token ?,"Yes, for this you need to create the defined amount of lotteries in the wp-admin panel. "
lottery,Any additional security setting or plugins recommend?,"You can follow basic security recommendations for WordPress, just google it. "
lottery,I visited your discord and was concerned to read about risks of users loosing their crypto - is this safe??,"Yes, we have fixed the callback issue in the latest version of the lottery plugin... You can download it only on https://dash.onout.org/ "
lottery,is it possible to hold a lottery for bnb but people buy lottery tickets with Rainbow shiba?,"No, the same token should be in a bank and reward. "
lottery,"I'm not sure how to load a prize in the lottery, how can I deposit a prize into the lottery for people to purchase tickets for?",Follow the WP admin panel &gt; Lottery &gt; All Lotteries &gt; Choose the one you need &gt; click Re
lottery,is there anyway to check which version of the lottery I have?,"Follow the WP admin panel &gt; Plugins &gt; Installed Plugins &gt; find Lottery Factory, the latest version of the lottery plugin is 1.0.37. "
lottery,and has this been audited to assure customers of its safety?,"You can check the technical details of this issue here - https://tools.onout.org/doc/incidents/lottery2022.md We do not use external audits (AND PLACE THIS INFORMATION ON EVERY PAGE at dash.onout.org). In the description of the product, you can't see any guarantees users funds will be safe. "
lottery,is it possible to decompress the lottery plugin for add the cronos network?,"Yes, we can add it, but you will also need to send some native coins of the EVM chain to deploy some re"
lottery,As I understand it is a form of Wordpress plugging - what crucial information is being held on the serve (or none)?,"The main application use ReactJS. It is a full fork of the pancake lottery app. We use WordPress only for creating, editing, storing, and managing Farms information. "
lottery,Can we see a contract example that “dapp” will be creating every time?,"Yes, there is a contracts folder with the Lottery.sol smart contract in the plugin directory. "
lottery,Can we create like 5-6 draws every 24 But running at the same time?,"Yes, but you need to manage each manually in the WP admin panel, the managing process is not automatic. "
lottery,Is there any referral system that can be used for marketing etc?,No. 
lottery,Is there always a winner?,No. All rewards tokens migrate to the next round. 
lottery,"every draw is being done in the same, deployed contract - not new contract for every draw - right?",Yes. 
lottery,What buying method of this dapp you are recommending - envato?,"There is no the lottery plugin in our portfolio on Envato, you can buy it only on our marketplace by crypto - https://dash.onout.org/ "
lottery,So actually “on withdrawals” if can use a Mining vocabulary?,"Didn't get it, can you clarify the "
lottery,i think i got it when % of rewards goes to the dev - at the moment of slosing a round right?,Yes. Admin will receive a treasure fee when a transaction of drawing Final Number And Make Lottery Claimable is sent. 
lottery,if there is no winner users tickets are vailid for he next round?,"No, users can purchase tickets only for one round. "
lottery,bw is it a fork of PancakeSwaps v2 or v1?,As I know Lottery does not have different versions. 
lottery,do you have any discounts for this dapp maybe? :),"No, there is no discount... "
lottery,"can we have different tokens for different, parallel draws? or only oone token which is in the contract deployed on configuration?",You can create a lot of lotteries in the admin panel and these will be displayed by your.wp.domain/lottery/lottery-id. 
lottery,a draw pool counts after deduction of devs fees?,These are counting in one method... 
lottery,the summ of the prize pool - is it counted without setted fees?,"I'm not entirely sure at the moment, but I think it counts with the treasure fee. "
lottery,and what is happening when i will set a prize level for 2 numbers lets say and there is 5 people - how their prizes would be counted?,Rewards will separate by winners in e
lottery,Please clarify about the buy token link.,It is just an external link to any site... 
lottery,The payment gateway was in fact to purchase our custom BEP20 token,"If you have the payment gateway, then just set it to tokenbuy_link in WP admin panel. "
lottery,"Also, so you have other games but lottery?",no 
lottery,Can we add games from other providers?,At the moment we don't provide custom app services. 
lottery,So that means I could set Paypal or stripe to purchase token and then use them for lottery?,It can work only if you set those on your external service and put link of this service to lottery tokenbuy_link (Just a button that follows an external link). 
lottery,Can the payout also be converted back to fiat and sent through the same gateway?,"It depends on your external service possibilities, we don't provide those functionalities... "
lottery,Match one number only. I mean lottery between no 1 and 2.,"No, you can set a minimum 2 Number of balls... "
lottery,"If pool un-won, can we do following","All rest funds move to the next round if the pool is unwon, also when you calculate the winning combination you are calculating the Burn Pool (treasure fee that you are earning). "
lottery,If you have any news from Dev lottery plugin for special token?,I will ask the lottery developer to process your re
lottery,"also, can your Lottery's source code launch on EthereumPoW?","yes, sure, we can add any EVM-like networks to our products, check prices and re"
lottery,We need a more complete interface sir,We don't provide any custom development services... 
lottery,"also, can your Lottery's source code launch on EthereumPoW?","yes, sure, we can add any EVM-like networks to our products, check prices and re"
lottery,"I have some doubts about lottery game, can I change the background colours in lottery game?","No, there is no dynamically property, you need to change the source code to do this. "
lottery,I read in your website earn commission what does it mean?,There is a treasure fee (a burning pool) that is a possibility to earn admin with each round of the lottery. 
lottery,Can the lottery has 6 numbers like pancake does?,"Yes, you can set up 2-6 numbers of balls in the lottery. "
lottery,bought the lottery app wanted intergration with kekchain,"The total cost for adding a new EVM-like network to the lottery plugin is 200 USD, but with your network, it can be more (depends how many hours our dev will spend)... "
lottery,alright we would love to go ahead with the lottery app we can facilitate that first?,"Yes, sure, we can start adding your network to the lottery plugin tomorrow morning if you pay the main fee (200 USD) today. "
lottery,"using base BNB or ETH seems to be a problem reading wallet balance in metamask when purchasing a ticket. If i use a ERC20 token it works . is this suppose to work like this or can i use the native toke of the chain i.e. MATIC ,ETH,BNB or is it only working with WMATIC,WETH,WBNB","Yes, the lottery app works only with ERC20-like tokens, you need to wrap your native currency to use it as ERC20. "
lottery,how am I able to see the solidity contract that has been created for the lottery.,Check the lottery contract in the ./contracts/Lottery.sol file in the root directory of the Lottery zip file that you downloaded at https://dash.onout.org/ 
lottery,can i manually move funds out of the lottery contract?,You can add some amount of tokens to the bank of the current lottery round 
wallet,can I put a wallet to receive the % of transactions different from the token?,I don't get this 
wallet,I want to use my api key (infura) for wallet plugin. ,There is no way to add a custom Infura API key via the WP admin panel at the moment... 
wallet,Does it include stacking?,"No, but we have the Farmfactory plugin for it - https://tools.onout.org/farming/ "
wallet,Does it include trading and can I swap to my currency?,"Yes, the wallet plugin has the Exchange page, and there you can swap any ERC20-like tokens with the "
wallet,is your multichin plugin also include these features or it will be different plugin from this one let me know?,"These plugins are definitely different, the cross-chain exchange plugin is fork of the multichain app you can check their site - https://app.multichain.org/#/ "
wallet,When I add liquidity through my website https://elizaswap.io/ liquidity can’t add and shows error message saying is not working...,Can you provide this error message? Did you pay the gas fee? 
wallet,"At the time of exchange swap admin commission set is not working.. here is the site we set 2% but here when swap happens, admin address could not see any commission received.","This is because you use direct swap, commission works only with 0x (aggregator) swap. "
wallet,If I set up with 1000 BEP20 coins liquidity and if any users try to buy 1500 coins what will happen?,The application will ask to add li
wallet,If I set up with 1000 BEP20 coins liquidity and if any users try to buy 1500 coins what will happen?,"I double-checked this, the application will not ask to add more li"
wallet,Incorrect rates on some pancakeswap and polygon tokens.,"As I can see it looks fine, maybe there is no li"
wallet,Avax tokens don't show when added via admin panel,"We have opened the issue, and asap will fix it. "
wallet,how do I enable the mandatory authorization?,"To enable it to follow WP admin panel &gt; MCWallet &gt; Options &gt; checked Users must be registered and logged for access wallet. and Save private information (keys, etc..) in user's profile (Custodial mode) "
wallet,"Please, I activated floating support on my site but seems not displaying on the wallet page why?",What is Floating support? Can you clarify it? 
wallet,Is the plugin free forever,Also can you clarify this 
wallet,Does that region IP address banned in Aggregator ?,"I don't know, but it probably is... Because I have checked it on my side and everything works fine... "
wallet,"Is it possible to add BCH, LTC and dash to the bitcoin wallet ?",At the moment we don't have a free developer to add not an EVM-like chain... 
wallet,Also how to get the upgrade version ? I bought the script on Codecanyon . Support is expired,"If you buy it on Codecanyon, then you have a license key, just add it to the plugin. We update the plugin on Codecanyon in a timely manner, but with a license key, you will be able to receive it permanently as something changes in the plugin. "
wallet,So can BSC chains be supported?,Go to the WP admin page &gt; MCWallet &gt; Options &gt; Disable BNB wallet option should be turned off. 
wallet,Cross network transactions are available within the MCW wallet application.,It is a depricated function in MCWallet. There is only BTC-to-(ERC20/ETH) and vice versa atomic swaps. 
wallet, Is the plugin can only accommodate erc20?,"Yes, this plugin can only accommodate erc20-like tokens. "
wallet,Can I add my new custom bep20 token?,"Sure, bep20 is erc20 in the BCS network. "
wallet,Can I set my own price for my token?,"Yes, you can set a custom price for each admin-added token, but it displays ONLY in the wallet, and not as the exchange rate in the "
wallet,Can I sell my token to my site users?,If you want you can create a li
wallet,As Admin I want to add my custom bep20 token to the platform (system) and set my own token price to sell it to my website users. What are the best ways to do that?,"As I wrote before, you can create a li"
wallet,"Is there any way that the price I set for may token in the wallet system platform to be available in other wallet like trust, metamask, etc and in coin listing websites? ","The app uses a coinmarketcap API to fetch Coin prices by symbol, if your token has been listed there the app can display it. "
wallet,"Does my bep20 token price will be also available in other wallet like trust, metamask, etc. and in coin listing websites?","We are not providing an aggregator of pricing for these projects... Maybe, if these use Panckace swap analytics for fetching price it will possible, but we didn't research that and are not sure. "
wallet,What I want is that my bep20 token and price will also available in other crypto wallets and crypto exchanges via swapping or trading and will also be seen in coin listing websites.,Usually all projects have some kind of listing re
wallet,I need more information and guide on how to materialise my requirements.,We don't provide any listing services... 
wallet,"if I do my token Liquidity Pair with BUSD in your platform wallet system does my token and token price will Only available in your platform? Or it will also available in metamask, trust wallet, etc?",The app uses the PancakeSwap contracts to create li
wallet,"If I do my token Liquidity Pool at PanCakeSwap and set my token price, does your platform will fetch my token and price from pancakeswap?","No, your users can see the dynamic token price only using your pair tokens (YOURTOKEN/BUSD) in the "
wallet,"If your system fetch my token and price from pancakeswap, no need to set my token price at your platform?","It is not working on the wallet page, because the price depends on the amount of tokens you want to swap and etc... "
wallet,how can i disable the custodial mode,MCWallet &gt; Options &gt; And turn off the Users must be registered and logged for access wallet. field. 
wallet,are there any shortcodes for the plugin,No 
wallet,What is the best thing to do so that I can sell my bep20 token to users in App?,"You can use swaps, but it is not selling it is a swap (the price can be different)... "
wallet,Do I paste https://buy.ramp.network/ with quotation marks? And do I retain the parameters previously used for itez? ,"No, you need to paste it without "
wallet,"Also, where exactly does it show up when using the app?","When you use deposit a native coin like ETH, BNB, and more. "
wallet,Which scenario is the best to implement that favors for me?,"I can't decide for you, it's up to you)) "
wallet,Did data-network change from “1” after ETH upgrade? ,Which update? 
wallet,The only problem is the option for paying with debit/card is disabled. Irrespective of the country I choose. Is it an issue on ramp platform or misconfiguration on my side please? ,"Maybe it is an issue on Ramp platform, but I'm not sure... Try using it with a VPN. "
wallet,to transfer the token to the User wallet in your App...,Your users also can interact with the app with metamask or walletconnect providers connecting... 
wallet,Then User can swap their token to any token in your App,Users can use the swap feature with internal and external wallets. Do you already have a WordPress payment gateway? 
wallet,"Always shows card payments disabled, though when you go to main site, https://ramp.network/buy , it works well. RAMP support team said its issue with your integration.. see attached screenshots","Okay, we will check this issue. "
wallet,No parameter values for amount are passed to ramp,We will also check this issue. 
wallet,Only BTC and Eth work. . But still ends at proceed to payment since pay by card on ramp shows disabled as mention on issue No. 1,Got it. 
wallet,"When you add wrapped Eth from Binance, it affects all other currencies. They stop picking exchange rates",Please provide WETH address from BSC that you have used to check it. 
wallet,Aurora and Moonriver coins added via admin panel only show on wallets but not on exchange,These should be in the 
wallet,Is the multi currency wallet with exchange a non custodian wallet?,"Yes, but you also can enable the custodial mode. "
wallet,Is it a WordPress plugin?,It is a react js application wrapped in WordPress plugin with the possibility to customize the app in the wp admin panel. 
wallet,"can I add other Fiat currency and process the exchange manually? E.g, let's say Ghana cedis to Skrill, Ghana cedis to PayPal, Ghana cedis to Payeer, etc., Payment will be process and send to my preferred online wallet (not crypto currency) and I then send the exchange manually to the buyer.","Unfortunately no, this is not possible with this app, you need to create another service for this... "
wallet,Is it necessary to create a smart contract before using the wallet extension? Or is there nothing to do? Can you explain more?,"No, we use externally deployed contracts to interact with the blockchain in the MWC plugin, for instance, to swap ERC20-like tokens we use contracts from Uniswap v2 app. "
wallet,Is it necessary to do something before use?,"You will need to start the WordPress server, and install and set up the MCW plugin for your needs (maybe disable some optional networks, etc.) "
wallet,How admin earn money by wallet?,You can set up fees only for sending transactions with internal wallets and to the aggregator swap module (Maximum aggregator Fee is 1%) 
wallet,If someone exchanges any crypto using our site then still admin earn?,Only with the aggregator swap module. 
wallet,Is it necessary to create a smart contract before using the wallet extension? Or is there nothing to do? Can you explain more?,"No, we use externally deployed contracts to interact with the blockchain in the MWC plugin, for instance, to swap ERC20-like tokens we use contracts from Uniswap v2 app. "
wallet,Is it necessary to do something before use?,"You will need to start the WordPress server, and install and set up the MCW plugin for your needs (maybe disable some optional networks, etc.) "
wallet,Is there a way to completely set it back to fabric settings?,"I didn't get it, please clarify the "
wallet,You guys are the developers of it right?,Yes. 
wallet,"After connecting to wallet, the pages are not auto refreshing. That's the problem i'm facing atm😅 it appeared after i made some adjustments in the css","How to check it, please provide more info about this issue. "
wallet,What amount I should put in 0x swap fee and who collecting the fees? ,You can fill any number between 0% to 1% into the 0x swap fee field. You need to set the EVM compatible Address where to collect fees. 
wallet, Enable Invoices = what is this and what happen if I ticked on it ? ,"It is only for Atomic Swap orders, and it is deprecated... "
wallet," Exchange mode = What type of swap to choose that I can earn fee? Only quick swap, Only atomic swap, Default is quick swap or Default is atomic swap ? Quick swap mode = What type to choose Default is 0x.org aggregator, Default is source, Only 0x.org aggregator or Only source ?","- Atomic swap is a technology that allows for the safe exchange of cryptocurrency, in which either both parties will receive coins or the deal will not be made. - "
wallet,"Is it possible to use our own token to pay for gasfees / usagefees on the dex, lending/borrowing protocol and the dao? I think i'm going to buy them all.","You can only set EVM-like coin (eg ETH for Ethereum, BNB for bsc network) to pay for gas fees... "
wallet,Imo we need our own blockchain to make that happen or do you guys have a work arround that?,"No, we don't provide the set up new EVM-like chain service yet... "
"wallet, dex",is the wallet system and dex system completely decentralized?,"Only you can access your wallet app and can change settings on your server. About Dex, you can also change the admin address to access to manage panel on the dex app page... "
"wallet, dex",you dont have any access into wallet or dex?,we have not any access to your wallet or dex... 


Product name,Question,Answer
farm,q: i mean i see on you frontend it indicate how much reward tokens are in farm contract, can that be remove from the frontend a: Yes, its can be removed
launchpad,q: i mean can the marketplace be ready soon like tomorrow or ? a: the marketplace will not work with you blockchain. it uses the ripple api, and only works with the networks it supports We can develop a separate application that will use not the Ripple API, but a separate contract Development cost - 500$ Lead time - one week
unifactory,q: So I can use Uniswap Base factory and router for LP in Unifactory? a: Unifactory cannot use any external contract other than one's own. You need your personal contracts for each network. If you don't have one on Ethereum, you have to deploy it first from the admin panel. If you don't have it for Base, you have to deploy it on Base first and then you can use it.
launchpad,q: If we buy IDO factory, we need to Infura.io Ipfs for setting? A: yes you need infura-ipfs.io and RPC node with wss for example p2pify.com
general,q: Not possible to link activation key with new address? a: have you lost your last address? it's not possible to link activation key to new address
general,q: When trying to connect with old wallet I have access denied q: Domain linked to your current wallet as owner
unifactory,q: Can I use Unifactory and Farm for optimism network? a: You can't do it right now. We can integrate this network in both products. Current integration prices are here: https://support.onout.org/hc/1331700057/32/addnewnetwork?category_id=8 q: Can I run Unifactory and Farm on same WordPress install? a: Let me clarify this info from devs q: Any deal of we buy 2 plugins? a: Not at the moment q: Are you available for custom work? How much would it cost if we wanted to update the design on the farming. a: Yes, but it depends on amount and type of work. The longer the job takes the less likely we are to take it on.
unifactory,q: Can I run Unifactory and Farm on same WordPress install? a: It's not possible to lounch it at the same time. Working and reliable solution is to lounch each app on your own subdomain. For example your site site.com and you louch it under farm.site.com and dex.farm.com. There can be some kind of Multi Plugin plugins, but you need to be careful and keep in mind the security of third-party plugins if you want to use it.
unifactory,q: In Unifactory if we set the factory and router from the Uniswap V2 will it work? Or we need own router and factory? a: It's not possible. You need to deploy your personal contracts. q: In Unifactory is it possible to use push-button connection rather than forced automatic connection? a: Not right not, but we can make it.
unifactory,q: Is Unifactory this white label? a: Please, clarify what you mean by white label. q: Is Unifactory has any ongoing support or updates? a: Yes. If problems arise, we'll fix them. For any individual work (for example, you want some changes for yourself personally), we do it for a separate fee. And it should be understood we have many clients, so the solution sometimes may not be so fast. q: Can you tell me a final price with Optimism integration? a: It's $1200. $1000 for the application + $200 for network integration. Also you can see active integration prices here: https://support.onout.org/hc/1331700057/32/addnewnetwork?category_id=8 q: Can we use any external liquidity in Unifactory? a: Not possible, because liquidity are located inside the contracts. So you have to deploy you own contracts. There's also an option for long and serious recycling so you can use third-party liquidity right away. But in this case you will only use the interface. There will be no possibility to add your commission (contracts are someone else's). q: How secure is MCW which displays private keys in a browser? a: It's only as safe as your system is safe (OS, browser, extensions). By default we don't send any private info outside of the application. And we use in-app crypto libraries to generate wallet related data (all happens inside your browser). q: Is it possible integrate safe.global in the MCW? a: I cannot tell you right now. It takes our sources to learn that service and make a decision.
general,q: hi! is everething okey with ETH network? We are going to improove UX for clarify how to deploy dex to network another than BSC. Q: I am deploying the exchange to a network other than BSC, but the app is requesting a switch to BSC. Why is that? A: We are utilizing the BSC network as a database since the app does not have a backend database. After deploying the contracts, it is necessary to save the new settings to storage, which is why you need to use both networks.
general,q: I mean the ido factory adress and the token locker factory adress. a: just put erc20 to fee token (in future at this week you can you this) - and click deploy - after save deployed contracts to storage
general,q: But i can't deploy your contracts directly because they are giving errors and warnings in remix a: So it’s logical - you weren’t able to put together a contract from the source, in a remix - is that the problem?
general,q: here are the updated versions, i updated. a: at this week will be update with Contract section at flat source of contracts q: so should i just wait for the update so i can deploy on remix myself? Think that's the quickest way to go? a: Yes - in folder with contracts will be flatten versions, with you can withou promble compile in remix
general,q: what chain is used to exchange polygon tokens on the product a: used polygon blockchain - chainid 137(0x89) q: in other words will my gas be massive if this is done on ETH a: if you use polygon - you pay native polygon coins - MATIC q: doesnt work: https://screenshots.wpmix.net/chrome_flURjFcp6AeS8A6TVaePogI32uV61jPT.png a: - its image in banner in our MCW procuct - you can manage baners items via admin panel q: Does this comment mean all polygon/MATIC tokens a: Its means token via ERC20 standart deployed on polygon network q: Also I found this doesnt have polygon contracts that work a: its a demo - we are not deploy contracts for polygon only testnet network of bnb and eth - admin can deploy contracts for each network in list, and be owner, and recive fee from txs of swaps q: o smaller payments count toward the overall total t o buy the product a: no, the price includes developers’ time for support and adaptation of the product to your needs q: can it be cheaper? a: no - see answer above. you can find our products from scammers and buy them cheaper, but you will not have support - you will be alone with yourself and with the scammer Any other questions?
general,q: it support MetaMask and Trust Wallet in a mobile environment? What other wallets are supported? a: Yes, support, also support WalletConnect v2 (Last version on https://dash.onout.org/) q: Is it possible to fix the APY a: No, but we are can develop an application for your specific tasks


END DATABASE 

The user ask you then you try to create an answer. Pleasr return only answer to user. You are the support agent. 


